Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2638,6.0,6,,,,,,
,,,,,2642,4.0,4,,,,,,
,,,,,2653,11.0,11,,,,,,
,,,,,2660,7.0,7,,,,,,
,,,,,2663,3.0,3,,,,,,
,,,,,2672,9.0,9,,,,,,
,,,,,2678,6.0,6,,,,,,
,,,,,2683,5.0,5,,,,,,
,,,,,2691,8.0,8,,,,,,
,,,,,2696,5.0,5,,,,,,
,,,,,2703,7.0,7,,,,,,
,,,,,2721,18.0,18,,,,,,
,,,,,2725,4.0,4,,,,,,
,,,,,2737,12.0,12,,,,,,
,,,,,2743,6.0,6,,,,,,
,,,,,2746,3.0,3,,,,,,
,,,,,2752,6.0,6,,,,,,
,,,,,2759,7.0,7,,,,,,
,,,,,2765,6.0,6,,,,,,
,,,,,2773,8.0,8,,,,,,
,,,,,2776,3.0,3,,,,,,
,,,,,2787,11.0,11,,,,,,
,,,,,2793,6.0,6,,,,,,
,,,,,2805,12.0,12,,,,,,
,,,,,2808,3.0,3,,,,,,
,,,,,2813,5.0,5,,,,,,
,,,,,2820,7.0,7,,,,,,
,,,,,2826,6.0,6,,,,,,
,,,,,2832,6.0,6,,,,,,
,,,,,2837,5.0,5,,,,,,
,,,,,2840,3.0,3,,,,,,
,,,,,2845,5.0,5,,,,,,
,,,,,2851,6.0,6,,,,,,
,,,,,2865,14.0,14,,,,,,
,,,,,2869,4.0,4,,,,,,
,,,,,2876,7.0,7,,,,,,
,,,,,2880,4.0,4,,,,,,
,,,,,2884,4.0,4,,,,,,
,,,,,2891,7.0,7,,,,,,
,,,,,2902,11.0,11,,,,,,
,,,,,2906,4.0,4,,,,,,
,,,,,2914,8.0,8,,,,,,
,,,,,2918,4.0,4,,,,,,
,,,,,2921,3.0,3,,,,,,
,,,,,2925,4.0,4,,,,,,
,,,,,2932,7.0,7,,,,,,
,,,,,2938,6.0,6,,,,,,
