Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,8969,8.644319,16,,,,,,,,
,,,,,9024,63.92339,55,,,,,,,,
,,,,,9037,10.266855,13,,,,,,,,
,,,,,9052,10.579294,15,,,,,,,,
,,,,,9069,11.889629,17,,,,,,,,
,,,,,9094,14.195563,25,,,,,,,,
,,,,,9117,18.01424,23,,,,,,,,
,,,,,9140,22.487957,23,,,,,,,,
,,,,,9162,16.101582,22,,,,,,,,
,,,,,9172,8.466382,10,,,,,,,,
,,,,,9184,8.816572,12,,,,,,,,
,,,,,9221,57.50047,37,,,,,,,,
,,,,,9243,24.71991,22,,,,,,,,
,,,,,9258,12.974196,15,,,,,,,,
,,,,,9272,8.679988,14,,,,,,,,
,,,,,9286,12.556675,14,,,,,,,,
,,,,,9349,100.26874,63,,,,,,,,
,,,,,9384,38.27617,35,,,,,,,,
,,,,,9396,9.117759,12,,,,,,,,
,,,,,9414,18.867022,18,,,,,,,,
,,,,,9426,8.662044,12,,,,,,,,
,,,,,9451,13.035254,25,,,,,,,,
,,,,,9517,86.15869,66,,,,,,,,
,,,,,9535,8.6713915,18,,,,,,,,
,,,,,9566,14.57492,31,,,,,,,,
,,,,,9589,26.946426,23,,,,,,,,
,,,,,9618,16.594845,29,,,,,,,,
,,,,,9650,32.88764,32,,,,,,,,
,,,,,9674,20.752037,24,,,,,,,,
,,,,,9706,26.803709,32,,,,,,,,
,,,,,9719,11.238798,13,,,,,,,,
,,,,,9744,21.65897,25,,,,,,,,
,,,,,9809,96.61857,65,,,,,,,,
,,,,,9832,25.226006,23,,,,,,,,
,,,,,9845,11.342603,13,,,,,,,,
,,,,,9857,9.326425,12,,,,,,,,
,,,,,9874,12.75079,17,,,,,,,,
,,,,,9886,7.8637,12,,,,,,,,
,,,,,9913,13.940797,27,,,,,,,,
,,,,,9935,13.926748,22,,,,,,,,
,,,,,9947,9.638636,12,,,,,,,,
,,,,,9962,10.62942,15,,,,,,,,
21.783312,17.782892,72.63111,8.05168,24.2,10000,,,-0.4491349756717682,1.9461485147476196,1.3852112293243408,0.09544411301612854,1.1799297332763672,0.0003,0.0003,0.1
,,,,,10064,219.51932,102,,,,,,,,
,,,,,10072,6.1239614,8,,,,,,,,
,,,,,10084,7.6769276,12,,,,,,,,
,,,,,10132,79.060425,48,,,,,,,,
,,,,,10206,124.70608,74,,,,,,,,
,,,,,10230,31.12193,24,,,,,,,,
,,,,,10289,98.15747,59,,,,,,,,
,,,,,10342,97.10652,53,,,,,,,,
,,,,,10380,62.90033,38,,,,,,,,
,,,,,10429,86.87352,49,,,,,,,,
,,,,,10467,62.5665,38,,,,,,,,
,,,,,10516,84.25639,49,,,,,,,,
,,,,,10557,67.83378,41,,,,,,,,
,,,,,10597,68.02234,40,,,,,,,,
,,,,,10635,63.958157,38,,,,,,,,
,,,,,10686,91.543076,51,,,,,,,,
,,,,,10724,62.7165,38,,,,,,,,
,,,,,10765,66.35107,41,,,,,,,,
,,,,,10803,62.65714,38,,,,,,,,
,,,,,10840,61.938896,37,,,,,,,,
,,,,,10877,61.846806,37,,,,,,,,
,,,,,10920,73.89901,43,,,,,,,,
,,,,,10952,52.978127,32,,,,,,,,
,,,,,10989,61.09199,37,,,,,,,,
,,,,,11000,,,-7.105547904968262,0.25664854049682617,0.8597739934921265,6.3408660888671875,6.540576934814453,0.0003,0.0003,0.1
,,,,,11031,72.42559,42,,,,,,,,
,,,,,11087,103.41083,56,,,,,,,,
,,,,,11132,77.26232,45,,,,,,,,
,,,,,11170,66.54691,38,,,,,,,,
,,,,,11266,214.76454,96,,,,,,,,
,,,,,11355,200.68694,89,,,,,,,,
,,,,,11449,209.61612,94,,,,,,,,
,,,,,11537,197.10994,88,,,,,,,,
,,,,,11622,188.45764,85,,,,,,,,
,,,,,11709,195.99538,87,,,,,,,,
,,,,,11797,194.9278,88,,,,,,,,
,,,,,11886,199.60043,89,,,,,,,,
,,,,,11973,187.76761,87,,,,,,,,
,,,,,12000,,,-15.299332618713379,-1.3358550071716309,1.5050554275512695,13.93315315246582,14.160541534423828,0.0003,0.0003,0.1
,,,,,12067,221.75621,94,,,,,,,,
,,,,,12160,201.46803,93,,,,,,,,
,,,,,12253,209.0684,93,,,,,,,,
,,,,,12344,206.76746,91,,,,,,,,
,,,,,12437,196.38858,93,,,,,,,,
,,,,,12528,200.64162,91,,,,,,,,
,,,,,12643,285.97833,115,,,,,,,,
,,,,,12742,232.28677,99,,,,,,,,
,,,,,12831,196.38332,89,,,,,,,,
,,,,,12929,217.91249,98,,,,,,,,
,,,,,13000,,,-25.812332153320312,-1.2616620063781738,3.7187740802764893,24.12582778930664,24.116344451904297,0.0003,0.0003,0.1
,,,,,13014,186.62814,85,,,,,,,,
,,,,,13106,197.22527,92,,,,,,,,
,,,,,13205,189.40767,99,,,,,,,,
,,,,,13290,187.16843,85,,,,,,,,
,,,,,13383,199.34239,93,,,,,,,,
,,,,,13466,172.61984,83,,,,,,,,
,,,,,13553,193.02109,87,,,,,,,,
,,,,,13638,186.72017,85,,,,,,,,
,,,,,13724,184.70285,86,,,,,,,,
,,,,,13810,179.31218,86,,,,,,,,
,,,,,13895,185.03778,85,,,,,,,,
,,,,,13982,191.303,87,,,,,,,,
,,,,,14000,,,-35.25780487060547,-1.6136500835418701,2.508075475692749,33.11754608154297,33.016265869140625,0.0003,0.0003,0.1
,,,,,14067,173.2389,85,,,,,,,,
,,,,,14157,195.41093,90,,,,,,,,
,,,,,14240,177.46655,83,,,,,,,,
,,,,,14330,194.44759,90,,,,,,,,
,,,,,14434,200.71526,104,,,,,,,,
,,,,,14534,199.94058,100,,,,,,,,
,,,,,14619,164.22852,85,,,,,,,,
,,,,,14710,175.68166,91,,,,,,,,
,,,,,14809,200.68843,99,,,,,,,,
,,,,,14911,214.85811,102,,,,,,,,
