Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,13837,207.65608,93,,,,,,,,
,,,,,13923,186.34055,86,,,,,,,,
,,,,,14000,,,-32.556209564208984,-1.4660440683364868,4.916441440582275,30.81549835205078,30.854995727539062,0.0003,0.0003,0.1
,,,,,14020,223.93303,97,,,,,,,,
,,,,,14111,202.19154,91,,,,,,,,
,,,,,14198,187.96687,87,,,,,,,,
,,,,,14295,217.90572,97,,,,,,,,
,,,,,14381,183.85585,86,,,,,,,,
,,,,,14473,205.55269,92,,,,,,,,
,,,,,14561,194.90735,88,,,,,,,,
,,,,,14648,191.87428,87,,,,,,,,
,,,,,14740,204.52856,92,,,,,,,,
,,,,,14824,178.79088,84,,,,,,,,
,,,,,14914,206.14537,90,,,,,,,,
190.3652,9.470411,209.44807,177.90694,87.9,15000,,,-41.429656982421875,-1.4744560718536377,10.456286430358887,38.888179779052734,38.41529083251953,0.0003,0.0003,0.1
,,,,,15001,189.37904,87,,,,,,,,
,,,,,15091,208.60287,90,,,,,,,,
,,,,,15184,189.78325,93,,,,,,,,
,,,,,15270,187.74554,86,,,,,,,,
,,,,,15362,199.00552,92,,,,,,,,
,,,,,15459,218.17274,97,,,,,,,,
,,,,,15560,229.55995,101,,,,,,,,
,,,,,15667,227.62392,107,,,,,,,,
,,,,,15763,211.09705,96,,,,,,,,
,,,,,15791,48.30298,28,,,,,,,,
,,,,,15891,227.94705,100,,,,,,,,
,,,,,15998,231.11475,107,,,,,,,,
,,,,,16000,,,-50.0794792175293,-1.138878345489502,4.8654069900512695,47.36293411254883,47.15768051147461,0.0003,0.0003,0.1
,,,,,16028,53.30478,30,,,,,,,,
,,,,,16128,201.78827,100,,,,,,,,
,,,,,16222,209.99718,94,,,,,,,,
,,,,,16320,217.5933,98,,,,,,,,
,,,,,16424,221.21802,104,,,,,,,,
,,,,,16522,204.81093,98,,,,,,,,
,,,,,16644,256.5363,122,,,,,,,,
,,,,,16740,196.7577,96,,,,,,,,
,,,,,16863,261.30057,123,,,,,,,,
,,,,,16892,51.96926,29,,,,,,,,
,,,,,17000,,,-59.959068298339844,-1.0823163986206055,5.828934192657471,56.96480178833008,57.26506805419922,0.0003,0.0003,0.1
,,,,,17004,249.05486,112,,,,,,,,
,,,,,17096,181.80585,92,,,,,,,,
,,,,,17198,239.83954,102,,,,,,,,
,,,,,17294,208.00476,96,,,,,,,,
,,,,,17392,219.98856,98,,,,,,,,
,,,,,17491,226.65361,99,,,,,,,,
,,,,,17587,220.96361,96,,,,,,,,
,,,,,17677,184.63486,90,,,,,,,,
,,,,,17778,236.9822,101,,,,,,,,
,,,,,17879,221.50919,101,,,,,,,,
,,,,,17975,213.5721,96,,,,,,,,
,,,,,18000,,,-65.19697570800781,-1.0146136283874512,6.143563270568848,62.42515182495117,62.849666595458984,0.0003,0.0003,0.1
,,,,,18077,249.63306,102,,,,,,,,
,,,,,18174,227.62473,97,,,,,,,,
,,,,,18275,239.73523,101,,,,,,,,
,,,,,18378,247.74915,103,,,,,,,,
,,,,,18478,233.3212,100,,,,,,,,
,,,,,18587,271.31808,109,,,,,,,,
,,,,,18682,225.28203,95,,,,,,,,
,,,,,18782,230.5021,100,,,,,,,,
,,,,,18881,235.3556,99,,,,,,,,
