Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-38.911503,28.35136,-15.71417,-78.83176,1000.0,-32.85119,21.051052,7.2615385,-54.892815,1000.0,1.4780449867248535,12.330413818359375,360000,225.31967329978943,,71
0.9366557,33.39733,32.996723,-45.129803,1000.0,-47.26579,31.710047,6.0788364,-93.78795,1000.0,-2.36027455329895,14.06241512298584,365000,228.4107518196106,,72
-8.383506,22.361704,21.161362,-32.92294,1000.0,-45.34847,38.079456,9.492004,-87.67584,1000.0,0.6359707713127136,13.153021812438965,370000,231.5795726776123,,73
29.463472,63.226147,118.11559,-24.958103,1000.0,-11.030737,35.618435,41.75405,-67.398026,1000.0,2.9193623065948486,13.464224815368652,375000,234.71647119522095,,74
1.9030342,48.850174,56.228386,-62.22011,1000.0,-55.126904,44.47597,-15.41803,-131.42636,1000.0,-6.589895248413086,12.007278442382812,380000,237.9920358657837,,75
39.639515,25.006197,69.23036,8.073545,1000.0,21.651611,35.58163,76.02657,-19.434397,1000.0,7.876197338104248,11.856618881225586,385000,241.16353511810303,,76
75.134575,37.460403,126.76383,39.037056,1000.0,9.501357,35.777657,73.9688,-21.004513,1000.0,-1.781862497329712,12.504043579101562,390000,244.3835289478302,,77
33.823406,31.283323,70.83456,-5.672659,1000.0,73.09492,23.924,100.09517,34.960106,1000.0,3.0468530654907227,12.644852638244629,395000,247.6687309741974,,78
77.77709,33.94954,125.084175,47.025208,1000.0,76.69814,25.703274,101.756805,31.966915,1000.0,0.5846788883209229,13.084696769714355,400000,250.8812620639801,,79
72.02134,18.619814,95.99271,50.597626,1000.0,124.12772,52.069492,201.89787,59.583275,1000.0,2.434819459915161,15.527711868286133,405000,254.14013242721558,,80
93.1536,30.592485,130.04349,55.1331,1000.0,54.96401,47.36777,134.79428,-7.042259,1000.0,-6.439324378967285,15.435586929321289,410000,257.3192729949951,,81
81.60845,69.884796,162.07166,-8.323072,1000.0,48.920444,64.92369,97.41274,-79.65733,1000.0,0.6707882881164551,11.749089241027832,415000,260.420706987381,,82
55.08643,36.96933,104.46972,15.52652,1000.0,106.53227,51.347046,191.39276,40.32094,1000.0,4.397608280181885,12.443726539611816,420000,263.5192265510559,,83
126.151184,27.886995,160.18973,91.88199,1000.0,105.40189,35.12524,140.69984,40.670456,1000.0,-3.1122002601623535,12.395174026489258,425000,266.69754242897034,,84
134.8526,42.774334,174.22556,75.39436,1000.0,151.6514,40.1322,173.39711,71.44772,1000.0,2.9958436489105225,10.94289779663086,430000,269.81448435783386,,85
242.88753,41.117825,295.94165,195.74594,1000.0,152.58044,66.5787,225.69418,60.894722,1000.0,0.40693750977516174,11.722517013549805,435000,272.86997747421265,,86
