Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,102000,,,7.464169025421143,23.763866424560547,22.606185913085938,512.9261474609375,0.830875,9.35415625e-05
,,,,,102031,240.0,1866,,,,,,
,,,,,102597,290.0,2290,,,,,,
,,,,,103000,,,6.987800598144531,27.67323112487793,26.70615005493164,358.7129211425781,0.8288125,9.343739583333334e-05
,,,,,103087,300.0,1970,,,,,,
,,,,,103713,290.0,2522,,,,,,
,,,,,104000,,,6.987251281738281,29.779632568359375,28.814790725708008,385.04888916015625,0.82675,9.333322916666666e-05
,,,,,104220,260.0,2042,,,,,,
,,,,,104705,240.0,1954,,,,,,
,,,,,105000,,,4.5710768699646,25.231420516967773,25.43986701965332,179.2293243408203,0.8246875,9.32290625e-05
,,,,,105279,410.0,2314,,,,,,
,,,,,105780,200.0,2018,,,,,,
,,,,,106000,,,4.56667423248291,31.721355438232422,31.857858657836914,196.72836303710938,0.8226249999999999,9.312489583333333e-05
,,,,,106314,200.0,2146,,,,,,
,,,,,106719,240.0,1642,,,,,,
,,,,,107000,,,8.312986373901367,30.98221206665039,30.4899959564209,402.6270446777344,0.8205625,9.302072916666668e-05
,,,,,107252,180.0,2138,,,,,,
,,,,,107650,190.0,1610,,,,,,
,,,,,108000,,,6.155664443969727,27.158462524414062,27.87246322631836,274.68658447265625,0.8185,9.29165625e-05
,,,,,108362,720.0,2866,,,,,,
,,,,,108892,310.0,2138,,,,,,
,,,,,109000,,,7.239914417266846,29.839811325073242,29.340953826904297,326.444580078125,0.8164374999999999,9.281239583333335e-05
,,,,,109315,170.0,1722,,,,,,
,,,,,109689,190.0,1506,,,,,,
330.0,96.8504,620.0,280.0,1894.0,110000,,,4.416134834289551,27.931381225585938,28.585994720458984,283.684326171875,0.8143750000000001,9.270822916666668e-05
,,,,,110172,220.0,1962,,,,,,
,,,,,110703,300.0,2146,,,,,,
,,,,,111000,,,61.39641189575195,32.39324951171875,32.178184509277344,922.63818359375,0.8123125,9.26040625e-05
,,,,,111304,340.0,2426,,,,,,
,,,,,111774,230.0,1906,,,,,,
,,,,,112000,,,2.471609115600586,30.850006103515625,30.515384674072266,263.8993835449219,0.81025,9.249989583333333e-05
,,,,,112245,290.0,1898,,,,,,
,,,,,112753,210.0,2042,,,,,,
,,,,,113000,,,3.760215997695923,30.111373901367188,29.98897933959961,203.3369140625,0.8081875000000001,9.239572916666666e-05
,,,,,113097,190.0,1402,,,,,,
,,,,,113654,330.0,2226,,,,,,
,,,,,114000,,,108.98389434814453,32.17772674560547,33.20195007324219,1894.01904296875,0.806125,9.22915625e-05
,,,,,114101,140.0,1810,,,,,,
,,,,,114616,240.0,2066,,,,,,
,,,,,115000,,,4.976791858673096,28.133520126342773,28.67888641357422,324.3139343261719,0.8040625,9.218739583333333e-05
,,,,,115057,220.0,1786,,,,,,
,,,,,115574,270.0,2082,,,,,,
,,,,,115971,200.0,1594,,,,,,
,,,,,116000,,,11.963403701782227,32.77796173095703,32.93927764892578,275.45086669921875,0.802,9.208322916666667e-05
,,,,,116450,250.0,1914,,,,,,
,,,,,116991,290.0,2194,,,,,,
,,,,,117000,,,7.510397911071777,32.55125045776367,32.084251403808594,267.1675109863281,0.7999375,9.19790625e-05
,,,,,117456,250.0,1882,,,,,,
,,,,,118000,,,10.858582496643066,40.09823989868164,40.02573013305664,292.4327392578125,0.797875,9.187489583333334e-05
,,,,,118208,420.0,3034,,,,,,
,,,,,118611,240.0,1626,,,,,,
,,,,,119000,,,47.430198669433594,38.99775695800781,40.459800720214844,907.0404052734375,0.7958125,9.177072916666667e-05
,,,,,119204,390.0,2386,,,,,,
,,,,,119715,390.0,2058,,,,,,
418.0,100.27961,510.0,230.0,2378.0,120000,,,8.619277000427246,30.518932342529297,31.839252471923828,411.4996643066406,0.79375,9.16665625e-05
,,,,,120218,330.0,2026,,,,,,
,,,,,120828,410.0,2442,,,,,,
,,,,,121000,,,9.795781135559082,34.77510070800781,35.32659912109375,332.62109375,0.7916875,9.156239583333333e-05
,,,,,121288,190.0,1850,,,,,,
,,,,,121874,590.0,2362,,,,,,
,,,,,122000,,,12.530848503112793,34.31901550292969,33.680152893066406,334.3485412597656,0.789625,9.145822916666667e-05
,,,,,122382,360.0,2058,,,,,,
,,,,,122762,200.0,1538,,,,,,
,,,,,123000,,,5.084871292114258,30.603425979614258,29.942638397216797,258.7257080078125,0.7875625,9.13540625e-05
,,,,,123296,340.0,2154,,,,,,
,,,,,124000,,,11.527820587158203,31.166271209716797,30.91168212890625,210.93505859375,0.7855,9.124989583333334e-05
,,,,,124016,470.0,2906,,,,,,
,,,,,124468,240.0,1818,,,,,,
,,,,,124972,220.0,2018,,,,,,
,,,,,125000,,,2.295666217803955,28.93169403076172,29.22686195373535,114.3199234008789,0.7834375,9.114572916666667e-05
,,,,,125858,570.0,3554,,,,,,
,,,,,126000,,,6.386906623840332,34.187740325927734,33.171661376953125,410.83587646484375,0.781375,9.10415625e-05
,,,,,126353,290.0,1986,,,,,,
,,,,,126824,290.0,1906,,,,,,
,,,,,127000,,,13.116127014160156,31.596088409423828,32.84013748168945,412.30096435546875,0.7793125,9.093739583333334e-05
,,,,,127272,210.0,1802,,,,,,
,,,,,127693,170.0,1714,,,,,,
,,,,,128000,,,6.5801191329956055,38.77217102050781,38.13133239746094,289.77532958984375,0.77725,9.083322916666667e-05
,,,,,128233,330.0,2162,,,,,,
,,,,,128764,350.0,2130,,,,,,
,,,,,129000,,,16.191133499145508,32.16427230834961,32.20874786376953,266.71142578125,0.7751875,9.072906250000001e-05
,,,,,129386,360.0,2498,,,,,,
,,,,,129854,350.0,1898,,,,,,
348.0,99.37807,580.0,240.0,2002.8,130000,,,33.70341873168945,38.09806442260742,38.98271560668945,675.776123046875,0.7731250000000001,9.062489583333333e-05
,,,,,130330,300.0,1922,,,,,,
,,,,,130730,140.0,1610,,,,,,
,,,,,131000,,,7.049591064453125,34.39039611816406,34.16869354248047,239.25880432128906,0.7710625,9.052072916666667e-05
,,,,,131223,290.0,1986,,,,,,
,,,,,131760,310.0,2170,,,,,,
,,,,,132000,,,9.35484504699707,32.92926788330078,31.64986228942871,463.96099853515625,0.769,9.04165625e-05
,,,,,132129,200.0,1474,,,,,,
,,,,,132637,270.0,2050,,,,,,
,,,,,133000,,,7.601121425628662,44.62158203125,43.804988861083984,350.8623352050781,0.7669375,9.031239583333334e-05
,,,,,133041,220.0,1618,,,,,,
,,,,,133515,270.0,1898,,,,,,
,,,,,134000,,,2.9421253204345703,33.426395416259766,33.410762786865234,142.31932067871094,0.764875,9.020822916666667e-05
,,,,,134033,260.0,2074,,,,,,
,,,,,134506,260.0,1898,,,,,,
,,,,,135000,,,22.515953063964844,32.787559509277344,32.25933837890625,329.1387939453125,0.7628125,9.010406250000001e-05
,,,,,135009,240.0,2018,,,,,,
,,,,,135500,260.0,1986,,,,,,
,,,,,135888,210.0,1570,,,,,,
,,,,,136000,,,6.523561954498291,36.382232666015625,36.88134002685547,250.0695343017578,0.76075,8.999989583333334e-05
,,,,,136339,280.0,1818,,,,,,
,,,,,136774,210.0,1762,,,,,,
,,,,,137000,,,6.735032081604004,39.47064971923828,38.49629592895508,353.5276184082031,0.7586875,8.989572916666668e-05
,,,,,137508,1080.0,2938,,,,,,
,,,,,138000,,,5.629507541656494,33.57569885253906,33.39638900756836,228.9035186767578,0.756625,8.979156250000001e-05
,,,,,138342,850.0,3362,,,,,,
,,,,,138865,350.0,2098,,,,,,
,,,,,139000,,,4.77223014831543,31.113819122314453,31.730243682861328,217.65451049804688,0.7545625,8.968739583333334e-05
,,,,,139386,280.0,2106,,,,,,
,,,,,139755,170.0,1490,,,,,,
180.0,25.298222,220.0,140.0,2160.4,140000,,,31.262807846069336,42.408790588378906,42.87059020996094,1229.453857421875,0.7525,8.958322916666667e-05
,,,,,140282,320.0,2122,,,,,,
,,,,,140782,260.0,2002,,,,,,
,,,,,141000,,,19.145145416259766,39.20685577392578,41.55107879638672,792.9212036132812,0.7504375,8.94790625e-05
,,,,,141268,330.0,1962,,,,,,
,,,,,141763,300.0,2002,,,,,,
,,,,,142000,,,6.00796365737915,36.39214324951172,35.251678466796875,356.78125,0.748375,8.937489583333334e-05
,,,,,142191,230.0,1738,,,,,,
,,,,,142617,260.0,1730,,,,,,
,,,,,143000,,,6.78761625289917,40.66822052001953,40.08951187133789,303.5076599121094,0.7463125,8.927072916666667e-05
,,,,,143283,390.0,2682,,,,,,
,,,,,143805,230.0,2090,,,,,,
,,,,,144000,,,18.87079620361328,49.52050018310547,51.285606384277344,685.8363647460938,0.74425,8.916656250000001e-05
,,,,,144216,150.0,1650,,,,,,
