Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3971,17.0,17,,,,,,
,,,,,3980,9.0,9,,,,,,
,,,,,3994,14.0,14,,,,,,
,,,,,4000,,,0.10764098167419434,2.7388534545898438,2.7476086616516113,0.3202728033065796,0.88,0.0005
,,,,,4005,11.0,11,,,,,,
,,,,,4018,13.0,13,,,,,,
,,,,,4035,17.0,17,,,,,,
,,,,,4045,10.0,10,,,,,,
,,,,,4057,12.0,12,,,,,,
,,,,,4070,13.0,13,,,,,,
,,,,,4081,11.0,11,,,,,,
,,,,,4090,9.0,9,,,,,,
,,,,,4100,10.0,10,,,,,,
,,,,,4110,10.0,10,,,,,,
,,,,,4122,12.0,12,,,,,,
,,,,,4131,9.0,9,,,,,,
,,,,,4141,10.0,10,,,,,,
,,,,,4154,13.0,13,,,,,,
,,,,,4163,9.0,9,,,,,,
,,,,,4173,10.0,10,,,,,,
,,,,,4183,10.0,10,,,,,,
,,,,,4192,9.0,9,,,,,,
,,,,,4204,12.0,12,,,,,,
,,,,,4215,11.0,11,,,,,,
,,,,,4224,9.0,9,,,,,,
,,,,,4236,12.0,12,,,,,,
,,,,,4245,9.0,9,,,,,,
,,,,,4255,10.0,10,,,,,,
,,,,,4268,13.0,13,,,,,,
,,,,,4280,12.0,12,,,,,,
,,,,,4289,9.0,9,,,,,,
,,,,,4304,15.0,15,,,,,,
,,,,,4312,8.0,8,,,,,,
,,,,,4323,11.0,11,,,,,,
,,,,,4335,12.0,12,,,,,,
,,,,,4346,11.0,11,,,,,,
,,,,,4360,14.0,14,,,,,,
,,,,,4369,9.0,9,,,,,,
,,,,,4379,10.0,10,,,,,,
,,,,,4394,15.0,15,,,,,,
,,,,,4403,9.0,9,,,,,,
,,,,,4411,8.0,8,,,,,,
,,,,,4420,9.0,9,,,,,,
,,,,,4429,9.0,9,,,,,,
,,,,,4443,14.0,14,,,,,,
,,,,,4452,9.0,9,,,,,,
,,,,,4462,10.0,10,,,,,,
,,,,,4474,12.0,12,,,,,,
,,,,,4490,16.0,16,,,,,,
,,,,,4502,12.0,12,,,,,,
,,,,,4513,11.0,11,,,,,,
,,,,,4522,9.0,9,,,,,,
,,,,,4534,12.0,12,,,,,,
,,,,,4549,15.0,15,,,,,,
,,,,,4560,11.0,11,,,,,,
,,,,,4570,10.0,10,,,,,,
,,,,,4589,19.0,19,,,,,,
,,,,,4598,9.0,9,,,,,,
,,,,,4610,12.0,12,,,,,,
,,,,,4619,9.0,9,,,,,,
,,,,,4631,12.0,12,,,,,,
,,,,,4641,10.0,10,,,,,,
,,,,,4651,10.0,10,,,,,,
,,,,,4661,10.0,10,,,,,,
,,,,,4671,10.0,10,,,,,,
,,,,,4682,11.0,11,,,,,,
,,,,,4691,9.0,9,,,,,,
,,,,,4708,17.0,17,,,,,,
,,,,,4721,13.0,13,,,,,,
,,,,,4738,17.0,17,,,,,,
,,,,,4749,11.0,11,,,,,,
,,,,,4759,10.0,10,,,,,,
,,,,,4769,10.0,10,,,,,,
,,,,,4779,10.0,10,,,,,,
,,,,,4787,8.0,8,,,,,,
,,,,,4798,11.0,11,,,,,,
,,,,,4807,9.0,9,,,,,,
,,,,,4815,8.0,8,,,,,,
,,,,,4827,12.0,12,,,,,,
,,,,,4837,10.0,10,,,,,,
,,,,,4849,12.0,12,,,,,,
,,,,,4859,10.0,10,,,,,,
,,,,,4878,19.0,19,,,,,,
,,,,,4888,10.0,10,,,,,,
,,,,,4904,16.0,16,,,,,,
,,,,,4920,16.0,16,,,,,,
,,,,,4934,14.0,14,,,,,,
,,,,,4943,9.0,9,,,,,,
,,,,,4955,12.0,12,,,,,,
,,,,,4966,11.0,11,,,,,,
,,,,,4982,16.0,16,,,,,,
,,,,,4998,16.0,16,,,,,,
67.3,4.2438188,73.0,61.0,67.3,5000,,,0.10703910887241364,3.602839708328247,3.604677200317383,0.24030537903308868,0.85,0.0005
,,,,,5009,11.0,11,,,,,,
,,,,,5019,10.0,10,,,,,,
,,,,,5029,10.0,10,,,,,,
,,,,,5039,10.0,10,,,,,,
,,,,,5051,12.0,12,,,,,,
,,,,,5064,13.0,13,,,,,,
,,,,,5075,11.0,11,,,,,,
,,,,,5085,10.0,10,,,,,,
,,,,,5100,15.0,15,,,,,,
,,,,,5112,12.0,12,,,,,,
,,,,,5123,11.0,11,,,,,,
,,,,,5134,11.0,11,,,,,,
,,,,,5145,11.0,11,,,,,,
,,,,,5154,9.0,9,,,,,,
,,,,,5169,15.0,15,,,,,,
